dteday,cnt,weathersit,temp,hum,windspeed
2011-06-01,3974,2,0.764167,0.677083,0.207092
2011-06-02,4968,1,0.715,0.305,0.292287
2011-06-03,5312,1,0.62,0.354167,0.253121
2011-06-04,5342,1,0.635,0.45625,0.123142
2011-06-05,4906,2,0.648333,0.6525,0.138692
2011-06-06,4548,1,0.678333,0.6,0.121896
2011-06-07,4833,1,0.7075,0.597917,0.187808
2011-06-08,4401,1,0.775833,0.622083,0.136817
2011-06-09,3915,2,0.808333,0.568333,0.149883
2011-06-10,4586,1,0.755,0.605,0.140554
2011-06-11,4966,1,0.725,0.654583,0.15485
2011-06-12,4460,1,0.6925,0.747917,0.163567
2011-06-13,5020,1,0.635,0.494583,0.30535
2011-06-14,4891,1,0.604167,0.507083,0.269283
2011-06-15,5180,1,0.626667,0.471667,0.167912
2011-06-16,3767,2,0.628333,0.688333,0.206471
2011-06-17,4844,1,0.649167,0.735833,0.143029
2011-06-18,5119,1,0.696667,0.670417,0.119408
2011-06-19,4744,2,0.699167,0.666667,0.102
2011-06-20,4010,2,0.635,0.74625,0.155475
2011-06-21,4835,2,0.680833,0.770417,0.171025
2011-06-22,4507,1,0.733333,0.7075,0.172262
2011-06-23,4790,2,0.728333,0.703333,0.238804
2011-06-24,4991,1,0.724167,0.573333,0.222025
2011-06-25,5202,1,0.695,0.483333,0.209571
2011-06-26,5305,1,0.68,0.513333,0.0945333
2011-06-27,4708,2,0.6825,0.658333,0.107588
2011-06-28,4648,1,0.744167,0.634167,0.144283
2011-06-29,5225,1,0.728333,0.497917,0.261821
2011-06-30,5515,1,0.696667,0.434167,0.185312
2011-07-01,5362,1,0.7225,0.39625,0.102608
2011-07-02,5119,1,0.738333,0.444583,0.115062
2011-07-03,4649,2,0.716667,0.6825,0.228858
2011-07-04,6043,2,0.726667,0.637917,0.0814792
2011-07-05,4665,1,0.746667,0.590417,0.126258
2011-07-06,4629,1,0.72,0.743333,0.149883
2011-07-07,4592,1,0.75,0.65125,0.1592
2011-07-08,4040,2,0.709167,0.757917,0.225129
2011-07-09,5336,1,0.733333,0.609167,0.167912
2011-07-10,4881,1,0.7475,0.578333,0.183471
2011-07-11,4086,1,0.7625,0.635833,0.282337
2011-07-12,4258,1,0.794167,0.559167,0.200254
2011-07-13,4342,1,0.746667,0.631667,0.146133
2011-07-14,5084,1,0.680833,0.47625,0.240667
2011-07-15,5538,1,0.663333,0.59125,0.182833
2011-07-16,5923,1,0.686667,0.585,0.208342
2011-07-17,5302,1,0.719167,0.604167,0.245033
2011-07-18,4458,1,0.746667,0.65125,0.215804
2011-07-19,4541,1,0.776667,0.650417,0.1306
2011-07-20,4332,1,0.768333,0.707083,0.113817
2011-07-21,3784,2,0.815,0.69125,0.222021
2011-07-22,3387,1,0.848333,0.580417,0.1331
2011-07-23,3285,1,0.849167,0.5,0.131221
2011-07-24,3606,1,0.83,0.550833,0.169171
2011-07-25,3840,1,0.743333,0.757083,0.0908083
2011-07-26,4590,1,0.771667,0.540833,0.200258
2011-07-27,4656,1,0.775,0.402917,0.183463
2011-07-28,4390,1,0.779167,0.583333,0.178479
2011-07-29,3846,1,0.838333,0.5425,0.174138
2011-07-30,4475,1,0.804167,0.465833,0.168537
2011-07-31,4302,1,0.805833,0.480833,0.164813
2011-08-01,4266,1,0.771667,0.550833,0.156717
2011-08-02,4845,1,0.783333,0.49125,0.20585
2011-08-03,3574,2,0.731667,0.6575,0.135583
2011-08-04,4576,2,0.71,0.7575,0.19715
2011-08-05,4866,1,0.710833,0.630833,0.184696
2011-08-06,4294,2,0.716667,0.755,0.22825
2011-08-07,3785,1,0.7425,0.752917,0.201487
2011-08-08,4326,1,0.765,0.592083,0.192175
2011-08-09,4602,1,0.775,0.570417,0.151121
2011-08-10,4780,1,0.766667,0.424167,0.200258
2011-08-11,4792,1,0.7175,0.42375,0.164796
2011-08-12,4905,1,0.708333,0.415,0.125621
2011-08-13,4150,2,0.685833,0.729583,0.211454
2011-08-14,3820,2,0.676667,0.8175,0.222633
2011-08-15,4338,1,0.665833,0.712083,0.208954
2011-08-16,4725,1,0.700833,0.578333,0.236329
2011-08-17,4694,1,0.723333,0.575417,0.143667
2011-08-18,3805,1,0.711667,0.654583,0.233208
2011-08-19,4153,2,0.685,0.722917,0.139308
2011-08-20,5191,1,0.6975,0.674167,0.104467
2011-08-21,3873,1,0.710833,0.77,0.248754
2011-08-22,4758,1,0.691667,0.47,0.27675
2011-08-23,5895,1,0.640833,0.455417,0.146763
2011-08-24,5130,1,0.673333,0.605,0.253108
2011-08-25,3542,2,0.684167,0.771667,0.210833
2011-08-26,4661,1,0.7,0.76125,0.0839625
2011-08-27,1115,2,0.68,0.85,0.375617
2011-08-28,4334,1,0.707059,0.561765,0.304659
2011-08-29,4634,1,0.636667,0.554583,0.159825
2011-08-30,5204,1,0.639167,0.548333,0.125008
2011-08-31,5058,1,0.656667,0.597917,0.0833333
